text,emotion
death,happy
deep,happy
dime,happy
dip,happy
ditch,happy
dodge,happy
dog,happy
doll,happy
door,happy
fail,happy
fall,happy
far,happy
fat,happy
fit,happy
five,happy
food,happy
gap,happy
gas,happy
gaze,happy
germ,happy
get,happy
gin,happy
goal,happy
good,happy
goose,happy
gun,happy
half,happy
hall,happy
hash,happy
hate,happy
have,happy
haze,happy
hire,happy
hit,happy
hole,happy
home,happy
hurl,happy
hush,happy
jail,happy
jar,happy
join,happy
judge,happy
jug,happy
juice,happy
keen,happy
keep,happy
keg,happy
kick,happy
kill,happy
king,happy
kite,happy
knock,happy
late,happy
laud,happy
lean,happy
learn,happy
lease,happy
lid,happy
life,happy
limb,happy
live,happy
loaf,happy
long,happy
lore,happy
lose,happy
lot,happy
love,happy
luck,happy
make,happy
match,happy
merge,happy
mess,happy
met,happy
mill,happy
mob,happy
mode,happy
mood,happy
moon,happy
mop,happy
mouse,happy
nag,happy
name,happy
near,happy
neat,happy
nice,happy
note,happy
numb,happy
pad,happy
page,happy
pain,happy
pass,happy
pearl,happy
peg,happy
perch,happy
phone,happy
pick,happy
pike,happy
pole,happy
pool,happy
puff,happy
rag,happy
raid,happy
rain,happy
raise,happy
rat,happy
reach,happy
read,happy
red,happy
ring,happy
ripe,happy
road,happy
room,happy
rose,happy
rot,happy
rough,happy
rush,happy
said,happy
sail,happy
search,happy
seize,happy
sell,happy
shack,happy
shall,happy
shawl,happy
sheep,happy
shirt,happy
should,happy
shout,happy
size,happy
soap,happy
soup,happy
sour,happy
south,happy
sub,happy
such,happy
sure,happy
take,happy
talk,happy
tape,happy
team,happy
tell,happy
thin,happy
third,happy
thought,happy
thumb,happy
time,happy
tip,happy
tire,happy
ton,happy
tool,happy
tough,happy
turn,happy
vine,happy
voice,happy
void,happy
vote,happy
wag,happy
walk,happy
wash,happy
week,happy
wheat,happy
when,happy
which,happy
whip,happy
white,happy
wife,happy
wire,happy
witch,happy
yearn,happy
yes,happy
young,happy
youth,happy
back,neutral
bar,neutral
base,neutral
bath,neutral
bean,neutral
beg,neutral
boat,neutral
bone,neutral
book,neutral
bought,neutral
burn,neutral
cab,neutral
calm,neutral
came,neutral
cause,neutral
chain,neutral
chair,neutral
chalk,neutral
chat,neutral
check,neutral
cheek,neutral
chief,neutral
choice,neutral
cool,neutral
dab,neutral
date,neutral
dead,neutral
death,neutral
deep,neutral
dime,neutral
dip,neutral
ditch,neutral
dodge,neutral
dog,neutral
doll,neutral
door,neutral
fail,neutral
fall,neutral
far,neutral
fat,neutral
fit,neutral
five,neutral
food,neutral
gap,neutral
gas,neutral
gaze,neutral
germ,neutral
get,neutral
gin,neutral
goal,neutral
good,neutral
goose,neutral
gun,neutral
half,neutral
hall,neutral
hash,neutral
hate,neutral
have,neutral
haze,neutral
hire,neutral
hit,neutral
hole,neutral
home,neutral
hurl,neutral
hush,neutral
jail,neutral
jar,neutral
join,neutral
judge,neutral
jug,neutral
juice,neutral
keen,neutral
keep,neutral
keg,neutral
kick,neutral
kill,neutral
king,neutral
kite,neutral
knock,neutral
late,neutral
laud,neutral
lean,neutral
learn,neutral
lease,neutral
lid,neutral
life,neutral
limb,neutral
live,neutral
loaf,neutral
long,neutral
lore,neutral
lose,neutral
lot,neutral
love,neutral
luck,neutral
make,neutral
match,neutral
merge,neutral
mess,neutral
met,neutral
mill,neutral
mob,neutral
mode,neutral
mood,neutral
moon,neutral
mop,neutral
mouse,neutral
nag,neutral
name,neutral
near,neutral
neat,neutral
nice,neutral
note,neutral
numb,neutral
pad,neutral
page,neutral
pain,neutral
pass,neutral
pearl,neutral
peg,neutral
perch,neutral
phone,neutral
pick,neutral
pike,neutral
pole,neutral
pool,neutral
puff,neutral
rag,neutral
raid,neutral
rain,neutral
raise,neutral
rat,neutral
reach,neutral
read,neutral
red,neutral
ring,neutral
ripe,neutral
road,neutral
room,neutral
rose,neutral
rot,neutral
rough,neutral
rush,neutral
said,neutral
sail,neutral
search,neutral
seize,neutral
sell,neutral
shack,neutral
shall,neutral
shawl,neutral
sheep,neutral
shirt,neutral
should,neutral
shout,neutral
size,neutral
soap,neutral
soup,neutral
sour,neutral
south,neutral
sub,neutral
such,neutral
sure,neutral
take,neutral
talk,neutral
tape,neutral
team,neutral
tell,neutral
thin,neutral
third,neutral
thought,neutral
thumb,neutral
time,neutral
tip,neutral
tire,neutral
ton,neutral
tool,neutral
tough,neutral
turn,neutral
vine,neutral
voice,neutral
void,neutral
vote,neutral
wag,neutral
walk,neutral
wash,neutral
week,neutral
wheat,neutral
when,neutral
which,neutral
whip,neutral
white,neutral
wife,neutral
wire,neutral
witch,neutral
yearn,neutral
yes,neutral
young,neutral
youth,neutral
bite,neutral
back,ps
bar,ps
base,ps
bath,ps
bean,ps
beg,ps
bite,ps
boat,ps
bone,ps
book,ps
bought,ps
burn,ps
cab,ps
calm,ps
came,ps
cause,ps
chain,ps
chair,ps
chalk,ps
chat,ps
check,ps
cheek,ps
chief,ps
choice,ps
cool,ps
dab,ps
date,ps
dead,ps
death,ps
deep,ps
dime,ps
dip,ps
ditch,ps
dodge,ps
dog,ps
doll,ps
door,ps
fail,ps
fall,ps
far,ps
fat,ps
fit,ps
five,ps
food,ps
gap,ps
gas,ps
gaze,ps
germ,ps
get,ps
gin,ps
goal,ps
good,ps
goose,ps
gun,ps
half,ps
hall,ps
hash,ps
hate,ps
have,ps
haze,ps
hire,ps
hit,ps
hole,ps
home,ps
hurl,ps
hush,ps
jail,ps
jar,ps
join,ps
judge,ps
jug,ps
juice,ps
keen,ps
keep,ps
keg,ps
kick,ps
kill,ps
king,ps
kite,ps
knock,ps
late,ps
laud,ps
lean,ps
learn,ps
lease,ps
lid,ps
life,ps
limb,ps
live,ps
loaf,ps
long,ps
lore,ps
lose,ps
lot,ps
love,ps
luck,ps
make,ps
match,ps
merge,ps
mess,ps
met,ps
mill,ps
mob,ps
mode,ps
mood,ps
moon,ps
mop,ps
mouse,ps
nag,ps
name,ps
near,ps
neat,ps
nice,ps
note,ps
numb,ps
pad,ps
page,ps
pain,ps
pass,ps
pearl,ps
peg,ps
perch,ps
phone,ps
pick,ps
pike,ps
pole,ps
pool,ps
puff,ps
rag,ps
raid,ps
rain,ps
raise,ps
rat,ps
reach,ps
read,ps
red,ps
ring,ps
ripe,ps
road,ps
room,ps
rose,ps
rot,ps
rough,ps
rush,ps
said,ps
sail,ps
search,ps
seize,ps
sell,ps
shack,ps
shall,ps
shawl,ps
sheep,ps
shirt,ps
should,ps
shout,ps
size,ps
soap,ps
soup,ps
sour,ps
south,ps
sub,ps
such,ps
sure,ps
take,ps
talk,ps
tape,ps
team,ps
tell,ps
thin,ps
third,ps
thought,ps
thumb,ps
time,ps
tip,ps
tire,ps
ton,ps
tool,ps
tough,ps
turn,ps
vine,ps
voice,ps
void,ps
vote,ps
wag,ps
walk,ps
wash,ps
week,ps
wheat,ps
when,ps
which,ps
whip,ps
white,ps
wife,ps
wire,ps
witch,ps
yearn,ps
yes,ps
young,ps
youth,ps
back,sad
bar,sad
base,sad
bath,sad
bean,sad
beg,sad
bite,sad
boat,sad
bone,sad
book,sad
bought,sad
burn,sad
cab,sad
calm,sad
came,sad
cause,sad
chain,sad
chair,sad
chalk,sad
chat,sad
check,sad
cheek,sad
chief,sad
choice,sad
cool,sad
dab,sad
date,sad
dead,sad
death,sad
deep,sad
dime,sad
dip,sad
ditch,sad
dodge,sad
dog,sad
doll,sad
door,sad
fail,sad
fall,sad
far,sad
fat,sad
fit,sad
five,sad
food,sad
gap,sad
gas,sad
gaze,sad
germ,sad
get,sad
gin,sad
goal,sad
good,sad
goose,sad
gun,sad
half,sad
hall,sad
hash,sad
hate,sad
have,sad
haze,sad
hire,sad
hit,sad
hole,sad
home,sad
hurl,sad
hush,sad
jail,sad
jar,sad
join,sad
judge,sad
jug,sad
juice,sad
keen,sad
keep,sad
keg,sad
kick,sad
kill,sad
king,sad
kite,sad
knock,sad
late,sad
laud,sad
lean,sad
learn,sad
lease,sad
lid,sad
life,sad
limb,sad
live,sad
loaf,sad
long,sad
lore,sad
lose,sad
lot,sad
love,sad
luck,sad
make,sad
match,sad
merge,sad
mess,sad
met,sad
mill,sad
mob,sad
mode,sad
mood,sad
moon,sad
mop,sad
mouse,sad
nag,sad
name,sad
near,sad
neat,sad
nice,sad
note,sad
numb,sad
pad,sad
page,sad
pain,sad
pass,sad
pearl,sad
peg,sad
perch,sad
phone,sad
pick,sad
pike,sad
pole,sad
pool,sad
puff,sad
rag,sad
raid,sad
rain,sad
raise,sad
rat,sad
reach,sad
read,sad
red,sad
ring,sad
ripe,sad
road,sad
room,sad
rose,sad
rot,sad
rough,sad
rush,sad
said,sad
sail,sad
search,sad
seize,sad
sell,sad
shack,sad
shall,sad
shawl,sad
sheep,sad
shirt,sad
should,sad
shout,sad
size,sad
soap,sad
soup,sad
sour,sad
south,sad
sub,sad
such,sad
sure,sad
take,sad
talk,sad
tape,sad
team,sad
tell,sad
thin,sad
third,sad
thought,sad
thumb,sad
time,sad
tip,sad
tire,sad
ton,sad
tool,sad
tough,sad
turn,sad
vine,sad
voice,sad
void,sad
vote,sad
wag,sad
walk,sad
wash,sad
week,sad
wheat,sad
when,sad
which,sad
whip,sad
white,sad
wife,sad
wire,sad
witch,sad
yearn,sad
yes,sad
young,sad
youth,sad
back,angry
bar,angry
base,angry
bath,angry
bean,angry
beg,angry
bite,angry
boat,angry
bone,angry
book,angry
bought,angry
burn,angry
cab,angry
calm,angry
came,angry
cause,angry
chain,angry
chair,angry
chalk,angry
chat,angry
check,angry
cheek,angry
chief,angry
choice,angry
cool,angry
dab,angry
date,angry
dead,angry
death,angry
deep,angry
dime,angry
dip,angry
ditch,angry
dodge,angry
dog,angry
doll,angry
door,angry
fail,angry
fall,angry
far,angry
fat,angry
fit,angry
five,angry
food,angry
gap,angry
gas,angry
gaze,angry
germ,angry
get,angry
gin,angry
goal,angry
good,angry
goose,angry
gun,angry
half,angry
hall,angry
hash,angry
hate,angry
have,angry
haze,angry
hire,angry
hit,angry
hole,angry
home,angry
hurl,angry
hush,angry
jail,angry
jar,angry
join,angry
judge,angry
jug,angry
juice,angry
keen,angry
keep,angry
keg,angry
kick,angry
kill,angry
king,angry
kite,angry
knock,angry
late,angry
laud,angry
lean,angry
learn,angry
lease,angry
lid,angry
life,angry
limb,angry
live,angry
loaf,angry
long,angry
lore,angry
lose,angry
lot,angry
love,angry
luck,angry
make,angry
match,angry
merge,angry
mess,angry
met,angry
mill,angry
mob,angry
mode,angry
mood,angry
moon,angry
mop,angry
mouse,angry
nag,angry
name,angry
near,angry
neat,angry
nice,angry
note,angry
numb,angry
pad,angry
page,angry
pain,angry
pass,angry
pearl,angry
peg,angry
perch,angry
phone,angry
pick,angry
pike,angry
pole,angry
pool,angry
puff,angry
rag,angry
raid,angry
rain,angry
raise,angry
rat,angry
reach,angry
read,angry
red,angry
ring,angry
ripe,angry
road,angry
room,angry
rose,angry
rot,angry
rough,angry
rush,angry
said,angry
sail,angry
search,angry
seize,angry
sell,angry
shack,angry
shall,angry
shawl,angry
sheep,angry
shirt,angry
should,angry
shout,angry
size,angry
soap,angry
soup,angry
sour,angry
south,angry
sub,angry
such,angry
sure,angry
take,angry
talk,angry
tape,angry
team,angry
tell,angry
thin,angry
third,angry
thought,angry
thumb,angry
time,angry
tip,angry
tire,angry
ton,angry
tool,angry
tough,angry
turn,angry
vine,angry
voice,angry
void,angry
vote,angry
wag,angry
walk,angry
wash,angry
week,angry
wheat,angry
when,angry
which,angry
whip,angry
white,angry
wife,angry
wire,angry
witch,angry
yearn,angry
yes,angry
young,angry
youth,angry
back,disgust
bar,disgust
base,disgust
bath,disgust
bean,disgust
beg,disgust
bite,disgust
boat,disgust
bone,disgust
book,disgust
bought,disgust
burn,disgust
cab,disgust
calm,disgust
came,disgust
cause,disgust
chain,disgust
chair,disgust
chalk,disgust
chat,disgust
check,disgust
cheek,disgust
chief,disgust
choice,disgust
cool,disgust
dab,disgust
date,disgust
dead,disgust
death,disgust
deep,disgust
dime,disgust
dip,disgust
ditch,disgust
dodge,disgust
dog,disgust
doll,disgust
door,disgust
fail,disgust
fall,disgust
far,disgust
fat,disgust
fit,disgust
five,disgust
food,disgust
gap,disgust
gas,disgust
gaze,disgust
germ,disgust
get,disgust
gin,disgust
goal,disgust
good,disgust
goose,disgust
gun,disgust
half,disgust
hall,disgust
hash,disgust
hate,disgust
have,disgust
haze,disgust
hire,disgust
hit,disgust
hole,disgust
home,disgust
hurl,disgust
hush,disgust
jail,disgust
jar,disgust
join,disgust
judge,disgust
jug,disgust
juice,disgust
keen,disgust
keep,disgust
keg,disgust
kick,disgust
kill,disgust
king,disgust
kite,disgust
knock,disgust
late,disgust
laud,disgust
lean,disgust
learn,disgust
lease,disgust
lid,disgust
life,disgust
limb,disgust
live,disgust
loaf,disgust
long,disgust
lore,disgust
lose,disgust
lot,disgust
love,disgust
luck,disgust
make,disgust
match,disgust
merge,disgust
mess,disgust
met,disgust
mill,disgust
mob,disgust
mode,disgust
mood,disgust
moon,disgust
mop,disgust
mouse,disgust
nag,disgust
name,disgust
near,disgust
neat,disgust
nice,disgust
note,disgust
numb,disgust
pad,disgust
page,disgust
pain,disgust
pass,disgust
pearl,disgust
peg,disgust
perch,disgust
phone,disgust
pick,disgust
pike,disgust
pole,disgust
pool,disgust
puff,disgust
rag,disgust
raid,disgust
rain,disgust
raise,disgust
rat,disgust
reach,disgust
read,disgust
red,disgust
ring,disgust
ripe,disgust
road,disgust
room,disgust
rose,disgust
rot,disgust
rough,disgust
rush,disgust
said,disgust
sail,disgust
search,disgust
seize,disgust
sell,disgust
shack,disgust
shall,disgust
shawl,disgust
sheep,disgust
shirt,disgust
should,disgust
shout,disgust
size,disgust
soap,disgust
soup,disgust
sour,disgust
south,disgust
sub,disgust
such,disgust
sure,disgust
take,disgust
talk,disgust
tape,disgust
team,disgust
tell,disgust
thin,disgust
third,disgust
thought,disgust
thumb,disgust
time,disgust
tip,disgust
tire,disgust
ton,disgust
tool,disgust
tough,disgust
turn,disgust
vine,disgust
voice,disgust
void,disgust
vote,disgust
wag,disgust
walk,disgust
wash,disgust
week,disgust
wheat,disgust
when,disgust
which,disgust
whip,disgust
white,disgust
wife,disgust
wire,disgust
witch,disgust
yearn,disgust
yes,disgust
young,disgust
youth,disgust
back,fear
bar,fear
base,fear
bath,fear
bean,fear
beg,fear
bite,fear
boat,fear
bone,fear
book,fear
bought,fear
burn,fear
cab,fear
calm,fear
came,fear
cause,fear
chain,fear
chair,fear
chalk,fear
chat,fear
check,fear
cheek,fear
chief,fear
choice,fear
cool,fear
dab,fear
date,fear
dead,fear
death,fear
deep,fear
dime,fear
dip,fear
ditch,fear
dodge,fear
dog,fear
doll,fear
door,fear
fail,fear
fall,fear
far,fear
fat,fear
fit,fear
five,fear
food,fear
gap,fear
gas,fear
gaze,fear
germ,fear
get,fear
gin,fear
goal,fear
good,fear
goose,fear
gun,fear
half,fear
hall,fear
hash,fear
hate,fear
have,fear
haze,fear
hire,fear
hit,fear
hole,fear
home,fear
hurl,fear
hush,fear
jail,fear
jar,fear
join,fear
judge,fear
jug,fear
juice,fear
keen,fear
keep,fear
keg,fear
kick,fear
kill,fear
king,fear
kite,fear
knock,fear
late,fear
laud,fear
lean,fear
learn,fear
lease,fear
lid,fear
life,fear
limb,fear
live,fear
loaf,fear
long,fear
lore,fear
lose,fear
lot,fear
love,fear
luck,fear
make,fear
match,fear
merge,fear
mess,fear
met,fear
mill,fear
mob,fear
mode,fear
mood,fear
moon,fear
mop,fear
mouse,fear
nag,fear
name,fear
near,fear
neat,fear
nice,fear
note,fear
numb,fear
pad,fear
page,fear
pain,fear
pass,fear
pearl,fear
peg,fear
perch,fear
phone,fear
pick,fear
pike,fear
pole,fear
pool,fear
puff,fear
rag,fear
raid,fear
rain,fear
raise,fear
rat,fear
reach,fear
read,fear
red,fear
ring,fear
ripe,fear
road,fear
room,fear
rose,fear
rot,fear
rough,fear
rush,fear
said,fear
sail,fear
search,fear
seize,fear
sell,fear
shack,fear
shall,fear
shawl,fear
sheep,fear
shirt,fear
should,fear
shout,fear
size,fear
soap,fear
soup,fear
sour,fear
south,fear
sub,fear
such,fear
sure,fear
take,fear
talk,fear
tape,fear
team,fear
tell,fear
thin,fear
third,fear
thought,fear
thumb,fear
time,fear
tip,fear
tire,fear
ton,fear
tool,fear
tough,fear
turn,fear
vine,fear
voice,fear
void,fear
vote,fear
wag,fear
walk,fear
wash,fear
week,fear
wheat,fear
when,fear
which,fear
whip,fear
white,fear
wife,fear
wire,fear
witch,fear
yearn,fear
yes,fear
young,fear
youth,fear
back,happy
bar,happy
base,happy
bath,happy
bean,happy
beg,happy
bite,happy
boat,happy
bone,happy
book,happy
bought,happy
burn,happy
cab,happy
calm,happy
came,happy
cause,happy
chain,happy
chair,happy
chalk,happy
chat,happy
check,happy
cheek,happy
chief,happy
choice,happy
cool,happy
dab,happy
date,happy
dead,happy
death,happy
deep,happy
dime,happy
dip,happy
ditch,happy
dodge,happy
dog,happy
doll,happy
door,happy
fail,happy
fall,happy
far,happy
fat,happy
fit,happy
five,happy
food,happy
gap,happy
gas,happy
gaze,happy
germ,happy
get,happy
gin,happy
goal,happy
good,happy
goose,happy
gun,happy
half,happy
hall,happy
hash,happy
hate,happy
have,happy
haze,happy
hire,happy
hit,happy
hole,happy
home,happy
hurl,happy
hush,happy
jail,happy
jar,happy
join,happy
judge,happy
jug,happy
juice,happy
keen,happy
keep,happy
keg,happy
kick,happy
kill,happy
king,happy
kite,happy
knock,happy
late,happy
laud,happy
lean,happy
learn,happy
lease,happy
lid,happy
life,happy
limb,happy
live,happy
loaf,happy
long,happy
lore,happy
lose,happy
lot,happy
love,happy
luck,happy
make,happy
match,happy
merge,happy
mess,happy
met,happy
mill,happy
mob,happy
mode,happy
mood,happy
moon,happy
mop,happy
mouse,happy
nag,happy
name,happy
near,happy
neat,happy
nice,happy
note,happy
numb,happy
pad,happy
page,happy
pain,happy
pass,happy
pearl,happy
peg,happy
perch,happy
phone,happy
pick,happy
pike,happy
pole,happy
pool,happy
puff,happy
rag,happy
raid,happy
rain,happy
raise,happy
rat,happy
reach,happy
read,happy
red,happy
ring,happy
ripe,happy
road,happy
room,happy
rose,happy
rot,happy
rough,happy
rush,happy
said,happy
sail,happy
search,happy
seize,happy
sell,happy
shack,happy
shall,happy
shawl,happy
sheep,happy
shirt,happy
should,happy
shout,happy
size,happy
soap,happy
soup,happy
sour,happy
south,happy
sub,happy
such,happy
sure,happy
take,happy
talk,happy
tape,happy
team,happy
tell,happy
thin,happy
third,happy
thought,happy
thumb,happy
time,happy
tip,happy
tire,happy
ton,happy
tool,happy
tough,happy
turn,happy
vine,happy
voice,happy
void,happy
vote,happy
wag,happy
walk,happy
wash,happy
week,happy
wheat,happy
when,happy
which,happy
whip,happy
white,happy
wife,happy
wire,happy
witch,happy
yearn,happy
yes,happy
young,happy
youth,happy
back,neutral
bar,neutral
base,neutral
bath,neutral
bean,neutral
beg,neutral
boat,neutral
bone,neutral
book,neutral
bought,neutral
burn,neutral
cab,neutral
calm,neutral
came,neutral
cause,neutral
chain,neutral
chair,neutral
chalk,neutral
chat,neutral
check,neutral
cheek,neutral
chief,neutral
choice,neutral
cool,neutral
dab,neutral
date,neutral
dead,neutral
death,neutral
deep,neutral
dime,neutral
dip,neutral
ditch,neutral
dodge,neutral
dog,neutral
doll,neutral
door,neutral
fail,neutral
fall,neutral
far,neutral
fat,neutral
fit,neutral
five,neutral
food,neutral
gap,neutral
gas,neutral
gaze,neutral
germ,neutral
get,neutral
gin,neutral
goal,neutral
good,neutral
goose,neutral
gun,neutral
half,neutral
hall,neutral
hash,neutral
hate,neutral
have,neutral
haze,neutral
hire,neutral
hit,neutral
hole,neutral
home,neutral
hurl,neutral
hush,neutral
jail,neutral
jar,neutral
join,neutral
judge,neutral
jug,neutral
juice,neutral
keen,neutral
keep,neutral
keg,neutral
kick,neutral
kill,neutral
king,neutral
kite,neutral
knock,neutral
late,neutral
laud,neutral
lean,neutral
